film,year_film,category,year_ceremony,year_film,winner,boxoffice
The Aviator,2004,BEST PICTURE,2005,2004,False,214000000
Finding Neverland,2004,BEST PICTURE,2005,2004,False,116000000
Million Dollar Baby,2004,BEST PICTURE,2005,2004,True,216000000
Ray,2004,BEST PICTURE,2005,2004,False,124000000
Sideways,2004,BEST PICTURE,2005,2004,False,109000000
Brokeback Mountain,2005,BEST PICTURE,2006,2005,False,178000000
Capote,2005,BEST PICTURE,2006,2005,False,49000000
Crash,2005,BEST PICTURE,2006,2005,True,98000000
"Good Night, and Good Luck.",2005,BEST PICTURE,2006,2005,False,54000000
Munich,2005,BEST PICTURE,2006,2005,False,130000000
Babel,2006,BEST PICTURE,2007,2006,False,135000000
The Departed,2006,BEST PICTURE,2007,2006,True,291000000
Letters from Iwo Jima,2006,BEST PICTURE,2007,2006,False,68000000
Little Miss Sunshine,2006,BEST PICTURE,2007,2006,False,100000000
The Queen,2006,BEST PICTURE,2007,2006,False,123000000
Atonement,2007,BEST PICTURE,2008,2007,False,129000000
Juno,2007,BEST PICTURE,2008,2007,False,231000000
Michael Clayton,2007,BEST PICTURE,2008,2007,False,93000000
No Country for Old Men,2007,BEST PICTURE,2008,2007,True,171000000
There Will Be Blood,2007,BEST PICTURE,2008,2007,False,76000000
The Curious Case of Benjamin Button,2008,BEST PICTURE,2009,2008,False,333000000
Frost/Nixon,2008,BEST PICTURE,2009,2008,False,27000000
Milk,2008,BEST PICTURE,2009,2008,False,54000000
The Reader,2008,BEST PICTURE,2009,2008,False,108000000
Slumdog Millionaire,2008,BEST PICTURE,2009,2008,True,378000000
Avatar,2009,BEST PICTURE,2010,2009,False,2920000000
The Blind Side,2009,BEST PICTURE,2010,2009,False,309000000
District 9,2009,BEST PICTURE,2010,2009,False,210000000
An Education,2009,BEST PICTURE,2010,2009,False,26000000
The Hurt Locker,2009,BEST PICTURE,2010,2009,True,49000000
Inglourious Basterds,2009,BEST PICTURE,2010,2009,False,321000000
Precious: Based on the Novel 'Push' by Sapphire,2009,BEST PICTURE,2010,2009,False,63000000
A Serious Man,2009,BEST PICTURE,2010,2009,False,31000000
Up,2009,BEST PICTURE,2010,2009,False,735000000
Up in the Air,2009,BEST PICTURE,2010,2009,False,166000000
Black Swan,2010,BEST PICTURE,2011,2010,False,329000000
The Fighter,2010,BEST PICTURE,2011,2010,False,129000000
Inception,2010,BEST PICTURE,2011,2010,False,836000000
The Kids Are All Right,2010,BEST PICTURE,2011,2010,False,34000000
The King's Speech,2010,BEST PICTURE,2011,2010,True,424000000
127 Hours,2010,BEST PICTURE,2011,2010,False,60000000
The Social Network,2010,BEST PICTURE,2011,2010,False,224000000
Toy Story 3,2010,BEST PICTURE,2011,2010,False,1070000000
True Grit,2010,BEST PICTURE,2011,2010,False,252000000
Winter's Bone,2010,BEST PICTURE,2011,2010,False,16000000
The Artist,2011,BEST PICTURE,2012,2011,True,133000000
The Descendants,2011,BEST PICTURE,2012,2011,False,177000000
Extremely Loud & Incredibly Close,2011,BEST PICTURE,2012,2011,False,55000000
The Help,2011,BEST PICTURE,2012,2011,False,216000000
Hugo,2011,BEST PICTURE,2012,2011,False,185000000
Midnight in Paris,2011,BEST PICTURE,2012,2011,False,151000000
Moneyball,2011,BEST PICTURE,2012,2011,False,110000000
The Tree of Life,2011,BEST PICTURE,2012,2011,False,54000000
War Horse,2011,BEST PICTURE,2012,2011,False,177000000
Amour,2012,BEST PICTURE,2013,2012,False,20000000
Argo,2012,BEST PICTURE,2013,2012,True,232000000
Beasts of the Southern Wild,2012,BEST PICTURE,2013,2012,False,21000000
Django Unchained,2012,BEST PICTURE,2013,2012,False,425000000
Les Misérables,2012,BEST PICTURE,2013,2012,False,441000000
Life of Pi,2012,BEST PICTURE,2013,2012,False,609000000
Lincoln,2012,BEST PICTURE,2013,2012,False,275000000
Silver Linings Playbook,2012,BEST PICTURE,2013,2012,False,236000000
Zero Dark Thirty,2012,BEST PICTURE,2013,2012,False,132000000
American Hustle,2013,BEST PICTURE,2014,2013,False,251000000
Captain Phillips,2013,BEST PICTURE,2014,2013,False,218000000
Dallas Buyers Club,2013,BEST PICTURE,2014,2013,False,55000000
Gravity,2013,BEST PICTURE,2014,2013,False,723000000
Her,2013,BEST PICTURE,2014,2013,False,48000000
Nebraska,2013,BEST PICTURE,2014,2013,False,24000000
Philomena,2013,BEST PICTURE,2014,2013,False,100000000
12 Years a Slave,2013,BEST PICTURE,2014,2013,True,187000000
The Wolf of Wall Street,2013,BEST PICTURE,2014,2013,False,392000000
American Sniper,2014,BEST PICTURE,2015,2014,False,547000000
Birdman or (The Unexpected Virtue of Ignorance),2014,BEST PICTURE,2015,2014,True,103000000
Boyhood,2014,BEST PICTURE,2015,2014,False,57000000
The Grand Budapest Hotel,2014,BEST PICTURE,2015,2014,False,174000000
The Imitation Game,2014,BEST PICTURE,2015,2014,False,233000000
Selma,2014,BEST PICTURE,2015,2014,False,66000000
The Theory of Everything,2014,BEST PICTURE,2015,2014,False,123000000
Whiplash,2014,BEST PICTURE,2015,2014,False,49000000
The Big Short,2015,BEST PICTURE,2016,2015,False,133000000
Bridge of Spies,2015,BEST PICTURE,2016,2015,False,165000000
Brooklyn,2015,BEST PICTURE,2016,2015,False,62000000
Mad Max: Fury Road,2015,BEST PICTURE,2016,2015,False,375000000
The Martian,2015,BEST PICTURE,2016,2015,False,630000000
The Revenant,2015,BEST PICTURE,2016,2015,False,533000000
Room,2015,BEST PICTURE,2016,2015,False,36000000
Spotlight,2015,BEST PICTURE,2016,2015,True,98000000
Arrival,2016,BEST PICTURE,2017,2016,False,203000000
Fences,2016,BEST PICTURE,2017,2016,False,64000000
Hacksaw Ridge,2016,BEST PICTURE,2017,2016,False,175000000
Hell or High Water,2016,BEST PICTURE,2017,2016,False,37000000
Hidden Figures,2016,BEST PICTURE,2017,2016,False,236000000
La La Land,2016,BEST PICTURE,2017,2016,False,446000000
Lion,2016,BEST PICTURE,2017,2016,False,140000000
Manchester by the Sea,2016,BEST PICTURE,2017,2016,False,79000000
Moonlight,2016,BEST PICTURE,2017,2016,True,65000000
Call Me by Your Name,2017,BEST PICTURE,2018,2017,False,41000000
Darkest Hour,2017,BEST PICTURE,2018,2017,False,150000000
Dunkirk,2017,BEST PICTURE,2018,2017,False,527000000
Get Out,2017,BEST PICTURE,2018,2017,False,255000000
Lady Bird,2017,BEST PICTURE,2018,2017,False,79000000
Phantom Thread,2017,BEST PICTURE,2018,2017,False,47000000
The Post,2017,BEST PICTURE,2018,2017,False,179000000
The Shape of Water,2017,BEST PICTURE,2018,2017,True,195000000
"Three Billboards outside Ebbing, Missouri",2017,BEST PICTURE,2018,2017,False,160000000
Black Panther,2018,BEST PICTURE,2019,2018,False,1340000000
BlacKkKlansman,2018,BEST PICTURE,2019,2018,False,93000000
Bohemian Rhapsody,2018,BEST PICTURE,2019,2018,False,910000000
The Favourite,2018,BEST PICTURE,2019,2018,False,95000000
Green Book,2018,BEST PICTURE,2019,2018,True,321000000
Roma,2018,BEST PICTURE,2019,2018,False,5000000
A Star Is Born,2018,BEST PICTURE,2019,2018,False,436000000
Vice,2018,BEST PICTURE,2019,2018,False,76000000
Ford v Ferrari,2019,BEST PICTURE,2020,2019,False,225000000
The Irishman,2019,BEST PICTURE,2020,2019,False,8000000
Jojo Rabbit,2019,BEST PICTURE,2020,2019,False,90000000
Joker,2019,BEST PICTURE,2020,2019,False,1070000000
Little Women,2019,BEST PICTURE,2020,2019,False,218000000
Marriage Story,2019,BEST PICTURE,2020,2019,False,2000000
1917,2019,BEST PICTURE,2020,2019,False,384000000
Once upon a Time...in Hollywood,2019,BEST PICTURE,2020,2019,False,374000000
Parasite,2019,BEST PICTURE,2020,2019,True,258000000
The Father,2020,BEST PICTURE,2021,2020,False,30000000
Judas and the Black Messiah,2020,BEST PICTURE,2021,2020,False,7000000
Mank,2020,BEST PICTURE,2021,2020,False,100000
Minari,2020,BEST PICTURE,2021,2020,False,15000000
Nomadland,2020,BEST PICTURE,2021,2020,True,39000000
Promising Young Woman,2020,BEST PICTURE,2021,2020,False,18000000
Sound of Metal,2020,BEST PICTURE,2021,2020,False,7000000
The Trial of the Chicago 7,2020,BEST PICTURE,2021,2020,False,1000000
Belfast,2021,BEST PICTURE,2022,2021,False,49000000
CODA,2021,BEST PICTURE,2022,2021,True,2000000
Don't Look Up,2021,BEST PICTURE,2022,2021,False,1000000
Drive My Car,2021,BEST PICTURE,2022,2021,False,15000000
Dune,2021,BEST PICTURE,2022,2021,False,402000000
King Richard,2021,BEST PICTURE,2022,2021,False,39000000
Licorice Pizza,2021,BEST PICTURE,2022,2021,False,33000000
Nightmare Alley,2021,BEST PICTURE,2022,2021,False,39000000
The Power of the Dog,2021,BEST PICTURE,2022,2021,False,400000
West Side Story,2021,BEST PICTURE,2022,2021,False,76000000
All Quiet on the Western Front,2022,BEST PICTURE,2023,2022,False,20000000
Avatar: The Way of Water,2022,BEST PICTURE,2023,2022,False,2320000000
The Banshees of Inisherin,2022,BEST PICTURE,2023,2022,False,49000000
Elvis,2022,BEST PICTURE,2023,2022,False,288000000
Everything Everywhere All at Once,2022,BEST PICTURE,2023,2022,True,140000000
The Fabelmans,2022,BEST PICTURE,2023,2022,False,45000000
Tár,2022,BEST PICTURE,2023,2022,False,29000000
Top Gun: Maverick,2022,BEST PICTURE,2023,2022,False,1490000000
Triangle of Sadness,2022,BEST PICTURE,2023,2022,False,23000000
Women Talking,2022,BEST PICTURE,2023,2022,False,10000000
American Fiction,2023,BEST PICTURE,2024,2023,False,20000000
Anatomy of a Fall,2023,BEST PICTURE,2024,2023,False,15000000
Barbie,2023,BEST PICTURE,2024,2023,False,1440000000
The Holdovers,2023,BEST PICTURE,2024,2023,False,20000000
Killers of the Flower Moon,2023,BEST PICTURE,2024,2023,False,156000000
Maestro,2023,BEST PICTURE,2024,2023,False,1000000
Oppenheimer,2023,BEST PICTURE,2024,2023,True,950000000
Past Lives,2023,BEST PICTURE,2024,2023,False,35000000
Poor Things,2023,BEST PICTURE,2024,2023,False,100000000
The Zone of Interest,2023,BEST PICTURE,2024,2023,False,10000000